,BGN,BGNx3,Base,G,G&I,I,node_name,node_id,neighborhood
0,-0.0009587202747769474,-0.0012317923035065625,0.0,-0.017102624388143806,-0.016461569372610896,-0.00098543384280525,J105-S_flow,J105-S,"('Downtown', 'Southside, Drains to Harbor')"
1,-0.00017468732421921374,5.350244917856628e-05,0.0,-0.01508933094178122,0.002808718691336143,0.017627669828273795,J10-S_flow,J10-S,"('Downtown', 'Southside, Drains to Harbor')"
2,-0.00017960612445921953,6.487892609818857e-05,0.0,-0.048920859465561684,-0.04683133495264169,0.001634439029121637,J116-S_flow,J116-S,"('Downtown', 'Southside, Drains to Harbor')"
3,-5.571477500687649e-06,-1.2577207488817521e-06,0.0,-0.040406741010899694,-0.8032892002732432,-0.7658337681507126,J119-S_flow,J119-S,"('Downtown', 'Southside, Drains to Harbor')"
4,-0.0016529695576616987,-0.008358867819187932,0.0,-0.023552454261924538,-0.8911673490825032,-0.8653885851304848,J128-S_flow,J128-S,"('Canton', 'Harris Creek')"
5,-5.435398346520515e-06,-3.3071889742330995e-06,0.0,-0.033077995990892894,-0.9618482046400576,-0.931631282677118,J130-S_flow,J130-S,"('Downtown', 'Southside, Drains to Harbor')"
6,-5.766822344988043e-06,-2.626832789509592e-06,0.0,-0.04006969454145004,-0.8991787376288087,-0.8632744013651799,J131-S_flow,J131-S,"('Downtown', 'Southside, Drains to Harbor')"
7,8.83098353021694e-06,3.2809188312832305e-06,0.0,-0.01703413443472135,-0.016897494419338965,0.00013493237078421316,J136-S_flow,J136-S,"('Downtown', 'Southside, Drains to Harbor')"
8,-0.00011218957498848603,-0.00014414450037225635,0.0,-0.006617102174139244,-0.006542638329406936,-0.00011531560029753862,J138-S_flow,J138-S,"('Downtown', 'Southside, Drains to Harbor')"
9,-0.0010565794997505762,-0.001357524744260985,0.0,-0.016180016738218672,-0.015472688477117025,-0.001086019795408788,J141-S_flow,J141-S,"('Downtown', 'Southside, Drains to Harbor')"
10,7.832827743614601e-05,2.905607448422387e-05,0.0,-0.016192800007996055,-0.015611030085700417,0.0005379486665808564,J157-S_flow,J157-S,"('Downtown', 'Southside, Drains to Harbor')"
11,0.00015187796067506198,5.635290848626795e-05,0.0,-0.016764194380890718,-0.01651964443718512,0.00015187796067506198,J163-S_flow,J163-S,"('Downtown', 'Southside, Drains to Harbor')"
12,8.767497968742433e-06,3.2514592755994443e-06,0.0,-0.011933017407646407,-0.01161183603930871,8.767944440712938e-06,J165-S_flow,J165-S,"('Federal Hill', 'Southside, Drains to Harbor')"
13,-0.00017315927790773067,-0.0002224801867851678,0.0,-0.00999729573593977,-0.009882803865682188,-0.00017798414942826746,J171-S_flow,J171-S,"('Canton', 'Northside, Drains to Harbor')"
14,-0.0011130628348752225,-0.0014300962119908611,0.0,-0.017451121133425396,-0.016706637219241482,-0.0011440769695929554,J177-S_flow,J177-S,"('Federal Hill', 'Southside, Drains to Harbor')"
15,2.1641224188684305e-05,8.172720584731508e-06,0.0,-0.03025618967668464,-0.08993604593434412,-0.059912536786227655,J182-S_flow,J182-S,"('Federal Hill', 'Southside, Drains to Harbor')"
16,3.959241204509745e-05,1.474349735031133e-05,0.0,-0.011235741881567396,-0.010878588812270218,0.00034462598796825006,J191-S_flow,J191-S,"('Fells Point', 'Canal Street Creek')"
17,0.00023952430545270964,8.887327170636894e-05,0.0,-0.011063335595834278,-0.010674409269779694,0.00023952430545270964,J1-S_flow,J1-S,"('Clifton Park', 'Canal Street Creek')"
18,7.445885427581622e-05,2.762726719729436e-05,0.0,-0.011674511602819404,-0.011554727322157454,7.445885427581622e-05,J204-S_flow,J204-S,"('Fells Point', 'Canal Street Creek')"
19,0.00034799303400578907,0.0001291195872781259,0.0,-0.033505654008680885,-0.03294466453431877,0.00034799303400578907,J208-S_flow,J208-S,"('Downtown', 'Southside, Drains to Harbor')"
20,-0.00016814033998802103,-0.7700382399453258,0.0,-0.041815849224590806,-1.5436920632257594,-0.8195769208841508,J211-S_flow,J211-S,"('Fells Point', 'Canal Street Creek')"
21,4.359277009946538e-05,3.5382921379500942e-06,0.0,-0.022011991075423065,-0.021909739013812768,3.228465243410028e-05,J227-S_flow,J227-S,"('Locust Point', 'Southside, Drains to Harbor')"
22,0.0,0.0,0.0,0.0,0.00014501035728799877,0.00011682606830860226,J231-S_flow,J231-S,"('Locust Point', 'Southside, Drains to Harbor')"
23,1.2283908121003828e-06,9.320740959016527e-07,0.0,3.837609192400976e-06,8.730290371379915e-05,2.232003235410132e-05,J232-S_flow,J232-S,"('Locust Point', 'Southside, Drains to Harbor')"
24,0.00020344490608215082,7.548634524390252e-05,0.0,-0.02269952052994162,-0.022372159209706144,0.00020344490608215082,J234-S_flow,J234-S,"('Locust Point', 'Southside, Drains to Harbor')"
25,-4.231164731027803e-05,-5.436326202379327e-05,0.0,-0.006813378438502049,-0.006785802898994664,-4.349060961916784e-05,J238-S_flow,J238-S,"('Locust Point', 'Southside, Drains to Harbor')"
26,-0.000610487403693849,-0.0007828359711097299,0.0,-0.01930884983727177,-0.018848337113253955,-0.0005396945195856873,J240-S_flow,J240-S,"('Locust Point', 'Southside, Drains to Harbor')"
27,4.943698248505157e-05,1.881818928151091e-05,0.0,-0.019242204623382886,-0.12096825339952844,-0.10250048759504393,J245-S_flow,J245-S,"('Locust Point', 'Southside, Drains to Harbor')"
28,-0.3739248628462617,-0.9554734999009034,0.0,-0.08499021694726583,-3.4706293574925358,-2.6245234017020636,J253-S_flow,J253-S,"('Eager Park', 'Canal Street Creek')"
