timestamp,J338-S_depth,J338-S_flow,J253-S_depth,J253-S_flow,J366-S_depth,J366-S_flow
2023-06-27 02:32:00,0.0,0.0,2.6434269372957315e-05,2.28980649645454e-06,0.0,0.0
2023-06-27 02:37:00,0.0,0.0,2.777458574966756e-05,0.0,0.0,0.0
2023-06-27 02:42:00,0.0,0.0,2.777458574966756e-05,0.0,0.0,0.0
2023-06-27 02:47:00,0.0,0.0,2.777458574966756e-05,0.0,0.0,0.0
2023-06-27 02:52:00,0.0,0.0,2.777458574966756e-05,0.0,0.0,0.0
2023-06-27 02:57:00,0.0,0.0,2.777458574966756e-05,0.0,0.0,0.0
2023-06-27 03:02:00,0.0,0.0,2.777458574966756e-05,0.0,0.0,0.0
2023-06-27 03:07:00,0.0,0.0,2.777458574966756e-05,0.0,0.0,0.0
2023-06-27 03:12:00,0.004587359893525232,0.02651634744574968,0.005775925338656869,0.015047696387377685,2.799502559207471e-05,0.00028737629674171984
2023-06-27 03:17:00,0.05803453363972779,0.6066238465699297,0.0537965094175656,0.32177416018322036,0.013605135335663297,0.12917307602780542
2023-06-27 03:22:00,0.10830504539114333,0.9441578979752153,0.07562761342964734,0.5355087284713422,0.060500878127337,0.48426630938102944
2023-06-27 03:27:00,0.14544019602982577,1.3260078688990486,0.08532799079199946,0.860917474579748,0.09226316232126204,0.7578056587112891
2023-06-27 03:32:00,0.16718075900425666,1.3783499204093983,0.09500100280895818,1.2004894078910364,0.11308628097295446,1.0422631187894875
2023-06-27 03:37:00,0.17048226582135897,1.357669048498742,0.09707851446263355,1.2594614702651474,0.12112467179828791,1.1079635352159807
2023-06-27 03:42:00,0.16417874944141045,1.2224795980854224,0.09426912324374705,1.1580372818734601,0.11972752936871468,1.0197176038312277
2023-06-27 03:47:00,0.15272835386932573,1.009854423521612,0.08854492441104518,0.9769519671334107,0.11258310246131935,0.8488688289488425
2023-06-27 03:52:00,0.1388821191897551,0.7887652587976107,0.08117978379966641,0.7720251975599933,0.1032168680955743,0.6672365948217563
2023-06-27 03:57:00,0.12480059996060747,0.6021728336852785,0.07242289247061588,0.5793597102299191,0.09274387628589907,0.49048006233250857
2023-06-27 04:02:00,0.11196971798333127,0.4513255145967869,0.0637162194000087,0.422299498610635,0.08182138760545155,0.35021890832400326
2023-06-27 04:07:00,0.10071112048536186,0.33662800946279997,0.055616643505513534,0.30391793299710584,0.07057898925178188,0.24502873952119086
2023-06-27 04:12:00,0.0902308338450598,0.24678777282583514,0.04834693258231566,0.21699034844787304,0.059871631894882094,0.16699478955433678
2023-06-27 04:17:00,0.0799577468869412,0.1775029066788979,0.041593700444022136,0.15259959017613692,0.050341676200250776,0.11389174382630644
2023-06-27 04:22:00,0.06999015771918904,0.12677320902790784,0.03573511364103621,0.10485937863636197,0.041714881603883806,0.07500902303910405
2023-06-27 04:27:00,0.06057377591649153,0.08996675548107622,0.029850322006295605,0.06789972207907671,0.0341590424225595,0.04797592567333274
2023-06-27 04:32:00,0.05210202207939144,0.06284506061035906,0.024455123674555736,0.04470453887468954,0.0269045179392565,0.027106483597576524
2023-06-27 04:37:00,0.04420021107476783,0.043387731424817375,0.019409098847731523,0.026485902640270585,0.020136957357226256,0.014626897246449734
2023-06-27 04:42:00,0.03721439659792008,0.030093722784839537,0.014754695208451164,0.016592023937276944,0.013720576077198307,0.006782536620025972
2023-06-27 04:47:00,0.03060011528509792,0.019257455181711257,0.011435585391970524,0.010748266651994652,0.00812980083492812,0.0030414278197365705
2023-06-27 04:52:00,0.024568683075022375,0.011796557793038471,0.00759200735089515,0.005601317639372313,0.003502793948342292,0.0008707170456212446
2023-06-27 04:57:00,0.019077000841406372,0.006892521460274712,0.003341715872345004,0.002552302278383516,2.5529981856127502e-05,6.744371286543926e-05
2023-06-27 05:02:00,0.014119774287028354,0.0038306560942043123,2.2611817357753895e-05,0.0010868072666209499,2.9367416180077432e-05,0.0
2023-06-27 05:07:00,0.00971113930551769,0.0018886276487866623,2.7831778646206294e-05,0.0004581887023880317,2.9367416180077432e-05,0.0
2023-06-27 05:12:00,0.00625134339114871,0.0008745542238772884,2.563784486417247e-05,0.0001990380921094437,2.9367416180077432e-05,0.0
2023-06-27 05:17:00,0.003660987654906219,0.0006203405927019488,2.0338068558095887e-05,0.00010544624844656056,2.9367416180077432e-05,0.0
2023-06-27 05:22:00,0.0016614224945234591,0.0012750927878044912,2.5600365426234383e-05,7.402078185650886e-05,2.9367416180077432e-05,0.0
2023-06-27 05:27:00,3.0245965146295115e-05,0.0014898754898381768,7.018723515040295e-06,6.38140265276852e-05,2.9367416180077432e-05,0.0
2023-06-27 05:32:00,2.945635892149078e-05,0.001333113505953697,8.090987227658284e-06,5.778622363875055e-05,2.9367416180077432e-05,0.0
2023-06-27 05:37:00,3.132701170795914e-05,0.0012070442403552418,0.0,5.251831625492644e-05,2.9367416180077432e-05,0.0
2023-06-27 05:42:00,2.85073347354544e-05,0.001102365050545218,5.2394824751004925e-05,4.789309143852984e-05,2.9367416180077432e-05,0.0
2023-06-27 05:47:00,2.7771972253168293e-05,0.0010130949283448725,0.0,4.3828040872108135e-05,2.9367416180077432e-05,0.0
2023-06-27 05:52:00,0.0004911270640034823,0.0008610919402185633,3.524365009052444e-06,4.022604543347678e-05,2.9367416180077432e-05,0.0
2023-06-27 05:57:00,0.00010505067049355626,0.0008589518608608346,1.8960583503262264e-05,3.7020672334524725e-05,2.9367416180077432e-05,0.0
