,Base,I,UG+I,V,V&I,node_name,node_id,neighborhood
59,0.0,-1.7679481098987084,1.1841322232086782e-05,-0.014548260844342131,-1.7769350159012243,J484-S_flow,J484-S,"('Baltimore Highlands', 'Harris Creek')"
60,0.0,-1.1851884811535633,2.3421730571016042e-05,-0.02545048330234856,-1.2053927412501153,J491-S_flow,J491-S,"('Kresson', 'Harris Creek')"
61,0.0,-0.00042326834754247145,-9.458510560111932e-06,-0.0005509582400970992,-0.00044691462394119696,J492-S_flow,J492-S,"('Baltimore Highlands', 'Harris Creek')"
62,0.0,-0.00025389540937492683,-5.673640433023763e-06,-0.018811496366887948,-0.01875091434310816,J49-S_flow,J49-S,"('Washington Hill', 'Canal Street Creek')"
63,0.0,-3.244561424642356e-06,1.0008842419306774e-06,-1.628060337788284e-05,-3.933715122972359e-06,J4-S_flow,J4-S,"('Canton', 'Northside, Drains to Harbor')"
64,0.0,-0.00044963747830806255,-1.004776487834036e-05,-0.0035597209334787827,-0.003449667971357151,J506-S_flow,J506-S,"('Baltimore Highlands', 'Harris Creek')"
65,0.0,-2.191410378730665,-7.693863564028902e-07,-0.008683408893145561,-2.198473577181823,J507-S_flow,J507-S,"('Patterson Park', 'Harris Creek')"
66,0.0,-0.04065494217407917,-1.5525898026336193e-05,-0.016506661212679852,-0.056766780850435516,J50-S_flow,J50-S,"('Washington Hill', 'Canal Street Creek')"
67,0.0,-2.134279998275627,4.900537478036426e-07,-0.008735132192424722,-2.1372188301422463,J512-S_flow,J512-S,"('Patterson Park', 'Harris Creek')"
68,0.0,-0.013231424776549261,-0.00014565007186817525,-0.021346626764343846,-0.03424883223290287,J534-S_flow,J534-S,"('Patterson Park', 'Harris Creek')"
69,0.0,-0.1273536583795951,-1.592330711730483e-09,-0.2798428909567465,-0.39826756693962695,J539-S_flow,J539-S,"('Canton', 'Northside, Drains to Harbor')"
70,0.0,-0.0001891085188121533,-4.225888688536017e-06,-0.00024615801610750054,-0.00019967324053360436,J541-S_flow,J541-S,"('Canton Industrial Area', 'Northside, Drains to Harbor')"
71,0.0,0.0,0.0,-0.4103340367338282,-0.4103340367338282,J548-S_flow,J548-S,"('Canton', 'Northside, Drains to Harbor')"
72,0.0,0.0011053876137436802,-5.30985336144596e-07,-6.91119940388063e-07,0.0011051302020788079,J556-S_flow,J556-S,"('Canton', 'Harris Creek')"
73,0.0,-0.001991698311708312,4.31787583465848e-09,-0.019346343807232103,-0.021334744637337977,J567-S_flow,J567-S,"('Berea', 'Armistead Creek')"
74,0.0,-0.44698926210178547,-3.862090251871564e-05,-0.017820981858021945,-0.4620646135595403,J568-S_flow,J568-S,"('Berea', 'Armistead Creek')"
75,0.0,0.0012772122722837231,0.0019517400035842236,-0.0003991288350890798,6.785190196501034e-05,J571-S_flow,J571-S,"('Berea', 'Armistead Creek')"
76,0.0,-1.3406925949576978,-0.004960448802182604,-0.10926312596469478,-1.3641875200098361,J576-S_flow,J576-S,"('Dunbar-Broadway', 'Canal Street Creek')"
77,0.0,0.040851015319256945,-0.00014359042089928664,-0.0004938946731520844,0.04083094974997259,J578-S_flow,J578-S,"('Dunbar-Broadway', 'Canal Street Creek')"
78,0.0,-0.22313729365069007,-2.8622614328677187e-07,-0.0053091488773368,-0.22557061728424369,J586-S_flow,J586-S,"('Dunbar-Broadway', 'Canal Street Creek')"
79,0.0,0.0,0.0,-0.17012681182268352,-0.17012681182268352,J587-S_flow,J587-S,"('Downtown', 'Southside, Drains to Harbor')"
80,0.0,-0.008948750082820034,1.0064865119119304e-06,-0.013061112953743681,-0.02143769674154239,J592-S_flow,J592-S,"('Dunbar-Broadway', 'Canal Street Creek')"
81,0.0,0.0018940152561079948,-1.0198611930523072e-05,-0.00014370378422734476,0.0018870760903766381,J5-S_flow,J5-S,"('Canton', 'Northside, Drains to Harbor')"
82,0.0,-0.003468989558149893,-6.655175788594647e-05,7.708863276612021e-06,-0.0034722562513325173,J609-S_flow,J609-S,"('Dunbar-Broadway', 'Canal Street Creek')"
83,0.0,-0.0005387864537089726,-1.2039920753714739e-05,-0.009475223825763823,-0.00934393221913421,J60-S_flow,J60-S,"('Downtown', 'Southside, Drains to Harbor')"
84,0.0,-0.0006113762130715017,-1.3662038281125888e-05,-0.0007958137298640366,-0.0006455313087725401,J619-S_flow,J619-S,"('Dunbar-Broadway', 'Canal Street Creek')"
85,0.0,1.6283392942179784,-0.3928793691231025,-1.0701484969189377,0.5029352285493704,J620-S_flow,J620-S,"('Broadway East', 'Harris Creek')"
86,0.0,1.6764186151343399,-0.39603043594424037,-1.0137192217821926,0.5258720193985074,J624-S_flow,J624-S,"('Broadway East', 'Harris Creek')"
87,0.0,0.07983271836018702,-7.070620290283713e-05,-0.008185667066674895,0.07172042473322371,J62-S_flow,J62-S,"('Downtown', 'Southside, Drains to Harbor')"
88,0.0,0.0,0.0,-0.01347532206055968,-0.01347532206055968,J632-S_flow,J632-S,"('Eager Park', 'Canal Street Creek')"
89,0.0,-1.7741866663874588,-0.013864643195224957,-0.2736481220798037,-1.8660139713070643,J637-S_flow,J637-S,"('Eager Park', 'Canal Street Creek')"
90,0.0,-1.6295846394009532,-0.008772265128683898,-0.1618691033220494,-1.6797585308604894,J640-S_flow,J640-S,"('Eager Park', 'Canal Street Creek')"
91,0.0,0.0,0.0,-0.006073474190742445,-0.006073474190742445,J659-S_flow,J659-S,"('Baltimore Highlands', 'Harris Creek')"
92,0.0,0.017341124632404892,-0.006756198937266866,-0.003396510657399432,0.013745827002636268,J672-S_flow,J672-S,"('Canton', 'Harris Creek')"
93,0.0,-0.0006498816679583186,-1.4522495373814337e-05,-0.000845935355499261,-0.0006861879063921883,J675-S_flow,J675-S,"('Canton', 'Harris Creek')"
94,0.0,5.204438078942886e-05,1.163002922410783e-06,6.774492024597123e-05,5.4951888095899903e-05,J686-S_flow,J686-S,"('Canton', 'Harris Creek')"
95,0.0,5.1146513097705126e-08,7.815826529727898e-08,-1.598328530291737e-08,2.7171584981999786e-09,J694-S_flow,J694-S,"('Canton', 'Harris Creek')"
96,0.0,-0.7214619709011938,-0.00012184344140564463,-5.878121153823912e-05,-0.7215284793349284,J695-S_flow,J695-S,"('Canton', 'Harris Creek')"
97,0.0,-8.881440248620365e-05,-1.9846793852806854e-06,-0.010387858630954483,-0.01036680480516905,J712-S_flow,J712-S,"('Patterson Park', 'Harris Creek')"
98,0.0,0.0,0.0,-0.0010645009854828302,-0.0010645009854828302,J714-S_flow,J714-S,"('Upper Fells Point', 'Northside, Drains to Harbor')"
99,0.0,-0.37401375596102104,0.0001156208267820702,-0.010953748993798307,-0.37646180869982016,J71-S_flow,J71-S,"('Federal Hill', 'Southside, Drains to Harbor')"
