,node_name,Base,I,UG+I,V,V&I,node_id,neighborhood
0,J105-S_flow,3.4994120258247525,3.4992372451557308,3.499408120111478,3.4985772596442604,3.4986201563326182,J105-S,"('Downtown', 'Southside, Drains to Harbor')"
1,J10-S_flow,2.881732898900848,2.8507695341809,2.881726971922944,2.703820065996525,2.6697593573439824,J10-S,"('Downtown', 'Southside, Drains to Harbor')"
2,J116-S_flow,7.924314706381162,7.985560790191136,7.924234008292378,7.833171072443193,7.898740581754321,J116-S,"('Downtown', 'Southside, Drains to Harbor')"
3,J119-S_flow,3.089097082261007,2.3280113334695822,3.0890820183291443,3.029236946481273,2.2443382517727604,J119-S,"('Downtown', 'Southside, Drains to Harbor')"
4,J128-S_flow,1.472823340198892,0.5558722106841268,1.47034040277962,1.471909480447165,0.5553194708056322,J128-S,"('Canton', 'Harris Creek')"
5,J130-S_flow,1.7993152323103476,0.8062883403043397,1.7993004310586442,1.7475899926096017,0.7587754010588286,J130-S,"('Downtown', 'Southside, Drains to Harbor')"
6,J131-S_flow,2.557549305748707,1.5910537606312976,2.557535751921117,2.513815824168244,1.5323190896637349,J131-S,"('Downtown', 'Southside, Drains to Harbor')"
7,J136-S_flow,3.680945619944314,3.684080625909557,3.6809407370921727,3.659143800821759,3.6628369785097465,J136-S,"('Downtown', 'Southside, Drains to Harbor')"
8,J138-S_flow,0.8603367223861927,0.8601883049127932,0.8603334057946084,0.8601435309264045,0.8601800134338323,J138-S,"('Downtown', 'Southside, Drains to Harbor')"
9,J141-S_flow,3.776973107373273,3.776817777066217,3.7769696363049583,3.753309495313184,3.753345668467916,J141-S,"('Downtown', 'Southside, Drains to Harbor')"
10,J157-S_flow,2.755306745857368,2.755541753986778,2.755306745805389,2.6839428111247803,2.68413003283128,J157-S,"('Downtown', 'Southside, Drains to Harbor')"
11,J163-S_flow,2.8530616069659804,2.8524370928003204,2.8530476513421665,2.8058457115290185,2.8059943618147067,J163-S,"('Downtown', 'Southside, Drains to Harbor')"
12,J165-S_flow,2.4943731319041995,2.4942616842277934,2.494362632985262,2.4633937149412457,2.4634211599456903,J165-S,"('Federal Hill', 'Southside, Drains to Harbor')"
13,J171-S_flow,1.545772508215667,1.5457572386763316,1.545772166996911,1.5457526322231243,1.5457563856294416,J171-S,"('Canton', 'Northside, Drains to Harbor')"
14,J177-S_flow,3.382649904896844,3.3821789165615703,3.382639380017843,3.3797631930232,3.37987879772974,J177-S,"('Federal Hill', 'Southside, Drains to Harbor')"
15,J182-S_flow,5.343248141314282,5.320484389171294,5.343226950980506,5.313500809529246,5.291420028965067,J182-S,"('Federal Hill', 'Southside, Drains to Harbor')"
16,J191-S_flow,1.7108814339464564,1.710882071164479,1.7108814293330878,1.7108814326043718,1.7108820699323948,J191-S,"('Fells Point', 'Canal Street Creek')"
17,J1-S_flow,1.853320875405157,1.853320875405157,1.853320875405157,1.853320875405157,1.853320875405157,J1-S,"('Clifton Park', 'Canal Street Creek')"
18,J204-S_flow,1.763554940195163,1.763554940195163,1.763554940195163,1.763554940195163,1.763554940195163,J204-S,"('Fells Point', 'Canal Street Creek')"
19,J208-S_flow,5.37890394097434,5.37890394097434,5.37890394097434,5.173354455605489,5.173354455605489,J208-S,"('Downtown', 'Southside, Drains to Harbor')"
20,J211-S_flow,3.566738229808096,2.756170551473739,3.5667115582543247,3.5526411204812627,2.7471386955943657,J211-S,"('Fells Point', 'Canal Street Creek')"
21,J227-S_flow,4.873895924845179,4.8739687768102105,4.873888242954538,4.87375224016753,4.873950466858545,J227-S,"('Locust Point', 'Southside, Drains to Harbor')"
22,J231-S_flow,0.0718940094230559,0.0718977755595274,0.0718997645503514,0.0718928325054086,0.071894209499056,J231-S,"('Locust Point', 'Southside, Drains to Harbor')"
23,J232-S_flow,0.0380810692872882,0.0381759634562443,0.0380839203375624,0.0380817817398289,0.0381499397508747,J232-S,"('Locust Point', 'Southside, Drains to Harbor')"
24,J234-S_flow,3.577881060976691,3.577881060976691,3.577881060976691,3.577881060976691,3.577881060976691,J234-S,"('Locust Point', 'Southside, Drains to Harbor')"
25,J238-S_flow,1.1157746543350135,1.1158469491699174,1.1157762698620508,1.1158687587849163,1.1158509879875098,J238-S,"('Locust Point', 'Southside, Drains to Harbor')"
26,J240-S_flow,3.912150534254276,3.911951741767321,3.912130172664676,3.9060799197114258,3.9062140026758656,J240-S,"('Locust Point', 'Southside, Drains to Harbor')"
27,J245-S_flow,2.999053177046068,2.819445826073395,2.9990314703607868,2.9946207704508896,2.8151538346764307,J245-S,"('Locust Point', 'Southside, Drains to Harbor')"
28,J253-S_flow,3.294555928421808,1.88608153509316,3.2854445799691177,2.975221401050055,1.6707048553557142,J253-S,"('Eager Park', 'Canal Street Creek')"
29,J260-S_flow,4.217349936929509,3.8276696420238583,4.217350341637306,4.10910771450443,3.7369274894633655,J260-S,"('Broadway East', 'Canal Street Creek')"
30,J266-S_flow,2.433530243393277,2.0240428673978528,2.433536141306504,2.333331057257745,1.9371979922964333,J266-S,"('Clifton Park', 'Canal Street Creek')"
31,J268-S_flow,1.4258297792013426,1.426815283764013,1.4273357533611737,1.3753808744765563,1.3757242687436475,J268-S,"('Clifton Park', 'Canal Street Creek')"
32,J273-S_flow,0.7157324262287323,0.7161997191392399,0.7164465082076017,0.7143228839471375,0.714493404120855,J273-S,"('Clifton Park', 'Canal Street Creek')"
33,J278-S_flow,4.091266378395011,2.710860894003375,4.077771881542533,3.7947674441960415,2.4979750792034734,J278-S,"('Broadway East', 'Canal Street Creek')"
