,node_name,BGN,BGNx3,Base,I,UG+I,V,V&I,node_id,neighborhood
0,J105-S_flow,2.797997050138019,2.799197825020893,2.7988983511891927,2.798270607965053,2.799410912170372,2.7985086520482545,2.7979214715591776,J105-S,"('Downtown', 'Southside, Drains to Harbor')"
1,J10-S_flow,2.6482267246654247,2.648227493791812,2.6241160837308355,2.590594429497874,2.602909242202379,2.489379633291911,2.444476704856104,J10-S,"('Downtown', 'Southside, Drains to Harbor')"
2,J116-S_flow,7.492852949525464,7.492852935264028,7.492853191535636,7.509314203402522,7.509315428306687,7.318357954838728,7.334598988900657,J116-S,"('Downtown', 'Southside, Drains to Harbor')"
3,J119-S_flow,2.759829133807459,2.7598280949168297,2.759831819651761,1.9089501976097043,1.9089509291802609,2.6927927527796363,1.8458058318643744,J119-S,"('Downtown', 'Southside, Drains to Harbor')"
4,J128-S_flow,1.1710330122560628,1.1619018485128902,1.1733573937258797,0.4323507967351477,0.422382355692198,1.168415314641292,0.4252087850487397,J128-S,"('Canton', 'Harris Creek')"
5,J130-S_flow,1.6924468000971862,1.6924466722546,1.6924440026537315,0.7202314077035274,0.7202303880832356,1.6452742551578996,0.6915487462040321,J130-S,"('Downtown', 'Southside, Drains to Harbor')"
6,J131-S_flow,2.375174367405816,2.375171278369176,2.3751718967813344,1.4464790773508878,1.4464656034571273,2.3118723000420336,1.4210940805254737,J131-S,"('Downtown', 'Southside, Drains to Harbor')"
7,J136-S_flow,2.567907417306226,2.5679074162779423,2.5679156382221477,2.602990835934905,2.602990213097809,2.550832748717954,2.586985637958615,J136-S,"('Downtown', 'Southside, Drains to Harbor')"
8,J138-S_flow,1.0474921786200049,1.0476289876797886,1.047594867434663,1.0475233461516102,1.0476532655465127,1.0475846969769809,1.0475177688038493,J138-S,"('Downtown', 'Southside, Drains to Harbor')"
9,J141-S_flow,2.7450835925245007,2.7464376531465327,2.7460999497779683,2.745392071563093,2.746677942081857,2.735310116649502,2.734654145361777,J141-S,"('Downtown', 'Southside, Drains to Harbor')"
10,J157-S_flow,2.5392508536329563,2.5392508535649454,2.539250860358859,2.539877120976216,2.539877120936103,2.4805301626145275,2.481108227236604,J157-S,"('Downtown', 'Southside, Drains to Harbor')"
11,J163-S_flow,2.6105198864643966,2.6105198864643966,2.6105198864643966,2.6105198864643966,2.6105198864643966,2.5492946000062995,2.5492946000062995,J163-S,"('Downtown', 'Southside, Drains to Harbor')"
12,J165-S_flow,1.8452299694786485,1.845710488224194,1.8455987162369916,1.84538572337803,1.8458149414986165,1.823819683466119,1.8236273299754184,J165-S,"('Federal Hill', 'Southside, Drains to Harbor')"
13,J171-S_flow,1.4623345434966928,1.462548320596447,1.4624950044852372,1.4623832457136632,1.4625862570601924,1.4624791121828575,1.4623745305801,J171-S,"('Canton', 'Northside, Drains to Harbor')"
14,J177-S_flow,2.8789056185815243,2.880313864298492,2.8799626471412627,2.879226441946301,2.8805637688142127,2.878075286610461,2.877386987477935,J177-S,"('Federal Hill', 'Southside, Drains to Harbor')"
15,J182-S_flow,4.2210670813707205,4.221067086072431,4.2210671788704905,4.198473501658681,4.198473449290859,4.196977301121378,4.174563692538075,J182-S,"('Federal Hill', 'Southside, Drains to Harbor')"
16,J191-S_flow,1.7100199571701176,1.710019956775341,1.7100200004156858,1.7100234545626922,1.7100234291018743,1.7100199554796998,1.710023449052153,J191-S,"('Fells Point', 'Canal Street Creek')"
17,J1-S_flow,1.5932756850695036,1.5932756850695036,1.5932756850695036,1.5932756850695036,1.5932756850695036,1.5932756850695036,1.5932756850695036,J1-S,"('Clifton Park', 'Canal Street Creek')"
18,J204-S_flow,1.764462754301313,1.764462754301313,1.764462754301313,1.764462754301313,1.764462754301313,1.764462754301313,1.764462754301313,J204-S,"('Fells Point', 'Canal Street Creek')"
19,J208-S_flow,5.190827192984953,5.190827192984953,5.190827192984953,5.190827192984953,5.190827192984953,5.002947539966453,5.002947539966453,J208-S,"('Downtown', 'Southside, Drains to Harbor')"
20,J211-S_flow,3.2364418168341653,2.549593849464366,3.2364389091918064,2.468986170160888,2.4689776982686302,3.2256892666655856,2.4589520191495238,J211-S,"('Fells Point', 'Canal Street Creek')"
