,BGN,BGNx3,Base,I,UG+I,V,V&I,link_name,link_id,neighborhood
0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,timestamp,timestamp,
1,4.462165300016946e-09,-5.751192609399999e-05,0.0,0.00037261438908029994,0.0003726070814138,-4.317576528399883e-06,0.00035629026674070005,C102-S_velocity,C102-S,Patterson Park
2,-8.514059700098428e-09,4.917192537100094e-06,0.0,5.1973582789999716e-06,5.1778711589000985e-06,-2.927457955899989e-06,2.3388586486000878e-06,C105-S_velocity,C105-S,Patterson Park
3,1.2833603109992792e-07,1.2011063960006702e-07,0.0,-0.0019514336650864007,-0.0019514861820227004,-1.5499330788800413e-05,-0.0019631133722957,C111-S_velocity,C111-S,Baltimore Highlands
4,-1.9414041999444437e-09,6.043850176999828e-07,0.0,-0.00037780970267329997,-0.00037781141288659994,-2.9455962469000178e-06,-0.00037964861004869993,C113-S_velocity,C113-S,Baltimore Highlands
5,-5.968209997389562e-11,-2.072812999801693e-10,0.0,-4.805105563689997e-05,-4.805164905439998e-05,-1.8663539995151385e-10,-4.8051305109499966e-05,C131-S_velocity,C131-S,Fells Point
6,9.636067299992335e-09,-7.630907700000022e-09,0.0,8.119702830400007e-06,8.117198000700014e-06,-1.6595363299927793e-08,8.122108506600136e-06,C141-S_velocity,C141-S,Canton
7,-3.3335282000057642e-09,-4.4194642999460104e-09,0.0,1.3675797420099997e-05,1.3672980039200022e-05,-3.024054399903761e-09,1.3676452375100063e-05,C159-S_velocity,C159-S,Upper Fells Point
8,5.13742000329831e-11,5.0773000062100115e-11,0.0,7.014887780789996e-05,7.015009152020011e-05,-1.6515674389997338e-07,6.997795420929994e-05,C163-S_velocity,C163-S,Upper Fells Point
9,5.892432730007606e-08,-4.3699869299801755e-08,0.0,8.165575283710009e-05,8.164353389080001e-05,-1.008435458998546e-07,8.167093145710009e-05,C168-S_velocity,C168-S,Canton
10,-2.0046863619983812e-07,-1.237961578900125e-06,0.0,1.722915478129944e-05,1.5610482570799396e-05,-4.565163079003204e-07,1.6369988468699706e-05,C182-S_velocity,C182-S,Canton
11,2.385839740000231e-07,-8.785795070599992e-06,0.0,2.0346030092300042e-05,2.0411828322100002e-05,-5.14459321599998e-06,1.3705679540700001e-05,C187-S_velocity,C187-S,Canton
12,2.9879971499661984e-08,-1.7846559224998088e-06,0.0,-0.0021694536526494,-0.0021694666189366997,-7.774801867900527e-06,-0.0021730915535501,C190-S_velocity,C190-S,Baltimore Highlands
13,-4.779126399961572e-09,5.98231006010007e-06,0.0,-0.0009682343173248,-0.0009682454081624,-2.2344725518000375e-06,-0.0009692258987054,C191-S_velocity,C191-S,Patterson Park
14,-3.2081639900205516e-08,-0.0005385753602825001,0.0,1.118234620679998e-05,1.118454252349967e-05,-5.068278258200335e-06,6.0814850732998985e-06,C211-S_velocity,C211-S,Patterson Park
15,-1.490944934680002e-05,-1.4913630722200024e-05,0.0,-0.0006371982351507,-0.0006372010138404,-8.255820303869994e-05,-0.0006876227906611999,C21-S_velocity,C21-S,Broadway East
16,-7.359894999871275e-09,-5.610769399869847e-09,0.0,1.506885922509995e-05,1.5069159027500086e-05,-1.045384063899906e-06,1.2815068832900105e-05,C226-S_velocity,C226-S,Baltimore Highlands
17,-1.0131641889994311e-07,-8.302403520015975e-08,0.0,-0.000575021011707,-0.0005750667820161,-9.372686171199834e-06,-0.0005839682394442999,C227-S_velocity,C227-S,Kresson
18,-1.2020260000029925e-09,2.5789639300087715e-08,0.0,-2.8452032869899935e-05,-2.843075163610001e-05,-3.742220636999277e-07,-2.8841093964499962e-05,C229-S_velocity,C229-S,Kresson
19,-3.758376999917802e-10,1.1803380499993826e-08,0.0,-2.9357501058999993e-06,-2.937056253500016e-06,-7.399957421799991e-06,-1.0375501712999997e-05,C236-S_velocity,C236-S,Orangeville
20,4.788818142999998e-06,4.788606817000005e-06,0.0,-0.00023260900224569999,-0.0002325500709648,-1.3478129291299979e-05,-0.00024214139826109999,C23-S_velocity,C23-S,Broadway East
21,1.0906869999174895e-09,2.021452699674242e-09,0.0,-2.585280926700132e-06,-2.583570782300343e-06,-5.4463389515002104e-06,-8.02247397410031e-06,C249-S_velocity,C249-S,Madison-Eastend
