,Base,I,V,V&I,link_id,neighborhood,link_name
0,0.0,108000000000000.0,108000000000000.0,108000000000000.0,timestamp,,timestamp
1,0.0,-8.65168497986e-05,-1.879845021900096e-06,-8.832159158100004e-05,C102-S,Patterson Park,C102-S_velocity
2,0.0,1.5350850245199896e-05,-3.4785523538001864e-06,1.1661546533199823e-05,C105-S,Patterson Park,C105-S_velocity
3,0.0,-0.0019365335450937998,-1.5122039313099876e-05,-0.0019480569443124998,C111-S,Baltimore Highlands,C111-S_velocity
4,0.0,-0.0003817168609718,-2.8901388096000662e-06,-0.00038343977097439995,C113-S,Baltimore Highlands,C113-S_velocity
5,0.0,-5.024927857740001e-05,-2.152250600016923e-09,-5.024984689570001e-05,C131-S,Fells Point,C131-S_velocity
6,0.0,5.755262502299928e-06,-3.249433816999124e-07,5.359132412499938e-06,C141-S,Canton,C141-S_velocity
7,0.0,2.467151871049999e-05,-1.588321071999783e-07,2.4674244855099983e-05,C159-S,Upper Fells Point,C159-S_velocity
8,0.0,3.858910468740003e-05,-1.1697081610001926e-07,3.849744502790002e-05,C163-S,Upper Fells Point,C163-S_velocity
9,0.0,7.217126153140005e-05,-2.8417270259996873e-07,7.180420183090005e-05,C168-S,Canton,C168-S_velocity
10,0.0,9.469672067100119e-06,-2.9957479001814502e-09,9.461266279499857e-06,C182-S,Canton,C182-S_velocity
11,0.0,2.1257328357799992e-05,-1.2512718647799965e-05,1.1908597522000013e-05,C187-S,Canton,C187-S_velocity
12,0.0,-0.0021506700338142,-6.366441449700416e-06,-0.0021543244556909,C190-S,Baltimore Highlands,C190-S_velocity
13,0.0,-0.0008138601955933,-2.202150984099982e-06,-0.0008144410652427001,C191-S,Patterson Park,C191-S_velocity
14,0.0,8.041334549999547e-07,-5.146449593300016e-06,-4.459775550800073e-06,C211-S,Patterson Park,C211-S_velocity
15,0.0,-0.00040868171791999986,-6.108836996039993e-05,-0.00044493900727609996,C21-S,Broadway East,C21-S_velocity
16,0.0,7.447516471100098e-06,-9.100958655000168e-07,6.18400435870004e-06,C226-S,Baltimore Highlands,C226-S_velocity
17,0.0,-0.0006605038037982998,-8.555233717000114e-06,-0.0006675681505931,C227-S,Kresson,C227-S_velocity
