,link_name,Base,I,V,V&I,link_id,neighborhood
88,C759-S_velocity,0.0001111328410728,0.0001112157953537,0.0001111739071193,0.0001112232318537,C759-S,Locust Point
89,C761-S_velocity,0.0058042663065687,0.0058895277658559,0.0058039302466111,0.0058893601181319,C761-S,Locust Point
90,C771-S_velocity,0.0029519179520477,0.0029517032263764,0.0029448580533571,0.0029447251887238,C771-S,Locust Point
91,C772-S_velocity,0.0012016997881124,0.0011531431830476,0.0011999911884739,0.001151286128892,C772-S,Locust Point
92,C779-S_velocity,0.0006440599704783,0.0006473280132158,0.0006441430804307,0.0006473868256373,C779-S,Locust Point
93,C79-S_velocity,0.0005683656029194,0.0003314824612432,0.0005682275922062,0.0003314181496629,C79-S,Canton
94,C7-S_velocity,0.0004897590831098,0.0004095410462612,0.0004834091352053,0.0004040177202473,C7-S,Orangeville
95,C816-S_velocity,0.0004188866421437,0.0004257688647714,0.0004207740348449,0.0004274071612493,C816-S,South Clifton Park
96,C830-S_velocity,0.0004652271634738,0.0003245979342474,0.0004560075332482,0.0003178675936354,C830-S,Downtown
97,C839-S_velocity,0.0034611303904053,0.0023415435390971,0.0032476114260676,0.0021939799992397,C839-S,Eager Park
98,C84-S_velocity,9.663712541704065e-06,1.0377062059717304e-05,9.66435459902628e-06,1.0375366543757884e-05,C84-S,Canton
99,C89-S_velocity,0.0005813148061977,0.0005812984077975,0.0005813110628226,0.0005812981210185,C89-S,Canton
