,Base,I,V,V&I,node_name,node_id,neighborhood
0,0.0,-0.007335121817858337,-0.012354937666565036,-0.007108318733852315,J105-S_flow,J105-S,Downtown
1,0.0,-0.34318066734747266,-0.33424798013420176,-0.3443372815997723,J10-S_flow,J10-S,Downtown
2,0.0,-0.004339696078496047,-0.00639553474193022,-0.005162459030675137,J116-S_flow,J116-S,Downtown
3,0.0,-0.14201607261678895,-2.4565711242985344e-08,-0.14201608834530166,J119-S_flow,J119-S,Downtown
4,0.0,-2.7520238132824355,-0.00817675490501113,-2.7564937653687718,J128-S_flow,J128-S,Canton
5,0.0,-1.3566316232356268,0.0003613353110987205,-1.3565685992170975,J130-S_flow,J130-S,Downtown
6,0.0,-0.7902394561806076,0.00020150100445093244,-0.7902235574324301,J131-S_flow,J131-S,Downtown
7,0.0,-0.004285271474918417,-0.09173338515977392,-0.09018699104899852,J136-S_flow,J136-S,Downtown
8,0.0,-0.00211036767194539,-0.002859576791254259,-0.0013497202454719748,J138-S_flow,J138-S,Downtown
9,0.0,-0.00774954290734442,-0.102054184543654,-0.09655366819331235,J141-S_flow,J141-S,Downtown
10,0.0,0.0021642817905771494,-0.3527437871756067,-0.3507487056379617,J157-S_flow,J157-S,Downtown
11,0.0,-0.007795958102532197,-0.31639071821808784,-0.31095853533642526,J163-S_flow,J163-S,Downtown
12,0.0,-0.002333178527351265,-0.13144957274790414,-0.1294651097391668,J165-S_flow,J165-S,Federal Hill
13,0.0,-0.0030907698965974006,-0.004188035090241016,-0.0019767525625935534,J171-S_flow,J171-S,Canton
14,0.0,-0.007906297299898668,-0.02096036704918447,-0.015308174361674531,J177-S_flow,J177-S,Federal Hill
15,0.0,-0.08366012586296634,-0.1343924803623473,-0.2075080733901089,J182-S_flow,J182-S,Federal Hill
16,0.0,3.538345269582521e-05,0.0005006182092888167,0.0005463070441447115,J191-S_flow,J191-S,Fells Point
17,0.0,0.0,0.007247439252152432,0.007395346175666617,J1-S_flow,J1-S,Clifton Park
18,0.0,0.0,0.0010002033531479881,0.001020615666478264,J204-S_flow,J204-S,Fells Point
19,0.0,0.0,-1.0671493639154228,-1.0670826005330198,J208-S_flow,J208-S,Downtown
20,0.0,-0.6365010764601546,-7.567280135845067e-13,-0.6365010764603678,J211-S_flow,J211-S,Fells Point
21,0.0,0.14752982265643766,-0.007329779740352649,0.14968394443838662,J227-S_flow,J227-S,Locust Point
22,0.0,-1.1534583735095527e-06,-1.5629517255977277e-06,-7.377132144048559e-07,J231-S_flow,J231-S,Locust Point
