,BGN,BGNx3,Base,I,UG+I,V,V&I,node_name,node_id,neighborhood
0,0.0006893134050773853,-2.9332485322886015e-05,0.0,-8.506420743525922e-05,8.799745596732578e-05,-0.0572749338671823,-0.057065747714420745,J105-S_flow,J105-S,"('Downtown', 'Southside, Drains to Harbor')"
1,-0.00023428180533491272,-5.359628407752837e-06,0.0,0.014824424944285042,3.698253553263697e-05,-0.13244879385277475,-0.11754770474536969,J10-S_flow,J10-S,"('Downtown', 'Southside, Drains to Harbor')"
2,-0.0002595680603416639,-4.723442066811856e-06,0.0,0.001660969443950222,4.464841775231321e-05,-0.20727129491683982,-0.205747431762064,J116-S_flow,J116-S,"('Downtown', 'Southside, Drains to Harbor')"
3,-9.752473264512673e-07,-5.507452694786252e-06,0.0,-0.7740094437562215,-1.5954283826502547e-05,-0.17695866334712562,-0.9399804621697463,J119-S_flow,J119-S,"('Downtown', 'Southside, Drains to Harbor')"
4,-0.001413823207224052,-0.005843899760463955,0.0,-0.7440636949150377,-0.0034033761242788785,-0.024762159194358535,-0.7653453312518539,J128-S_flow,J128-S,"('Canton', 'Harris Creek')"
5,-3.740530476470383e-06,-1.0571619332822024e-05,0.0,-0.9434728582877008,-2.2149248446012848e-05,-0.12758521117955635,-1.0586375720250398,J130-S_flow,J130-S,"('Downtown', 'Southside, Drains to Harbor')"
6,-2.4134751672733046e-06,-7.738794527867299e-06,0.0,-0.8790991817203446,-1.9308676218798837e-05,-0.1596427646866463,-1.020842347350972,J131-S_flow,J131-S,"('Downtown', 'Southside, Drains to Harbor')"
7,-8.884341574866284e-06,-1.737920403144244e-07,0.0,0.00010011761984873857,1.5624175384587602e-06,-0.017072023196301078,-0.016978727847060338,J136-S_flow,J136-S,"('Downtown', 'Southside, Drains to Harbor')"
8,7.709863081339918e-05,-3.280792800541832e-06,0.0,-9.51429912166013e-06,9.842378401625496e-06,-0.011802163153351142,-0.011778716948360968,J138-S_flow,J138-S,"('Downtown', 'Southside, Drains to Harbor')"
9,0.0007630797270437029,-3.247147774620984e-05,0.0,-9.416728546485231e-05,9.74144332399618e-05,-0.011564108312655197,-0.011329373489208372,J141-S_flow,J141-S,"('Downtown', 'Southside, Drains to Harbor')"
10,-0.00011936772910114968,-2.002286382918328e-06,0.0,0.0004064272897297272,2.089785758085938e-05,-0.058652646714963286,-0.058252917075605204,J157-S_flow,J157-S,"('Downtown', 'Southside, Drains to Harbor')"
11,-0.00023104051502231826,-3.8083601383576138e-06,0.0,-2.919742772222733e-05,4.0622508135523816e-05,-0.06128250626783727,-0.061269844055798384,J163-S_flow,J163-S,"('Downtown', 'Southside, Drains to Harbor')"
12,0.00027024020744637056,-1.842148724628956e-05,0.0,3.79910615115886e-05,-5.101746551661179e-06,-0.02206855982304523,-0.021912629044695597,J165-S_flow,J165-S,"('Federal Hill', 'Southside, Drains to Harbor')"
13,0.00012047390513703071,-5.126549154743643e-06,0.0,-1.4866992549267266e-05,1.5379647464230928e-05,-0.00013995479192541183,-0.00010253098309576103,J171-S_flow,J171-S,"('Canton', 'Northside, Drains to Harbor')"
14,0.0008029226876540285,-3.4166922879386163e-05,0.0,-9.908407634862115e-05,0.00010250076863638213,-0.031242692160319052,-0.030996233965670417,J177-S_flow,J177-S,"('Federal Hill', 'Southside, Drains to Harbor')"
15,-2.5779743126896904e-05,-4.780764220058131e-07,0.0,-0.06046681104856333,4.78999187425444e-06,-0.028052675880993583,-0.08804540449478804,J182-S_flow,J182-S,"('Federal Hill', 'Southside, Drains to Harbor')"
16,-5.983365674500085e-05,-1.0249891717606374e-06,0.0,0.0002953804326009113,1.045655704312587e-05,-0.009610050859979458,-0.00933064940289352,J191-S_flow,J191-S,"('Fells Point', 'Canal Street Creek')"
17,-0.00032155541838707613,-5.300364039229066e-06,0.0,-4.063612430171837e-05,5.6537216419849656e-05,-0.05339113640993043,-0.05337197365170043,J1-S_flow,J1-S,"('Clifton Park', 'Canal Street Creek')"
18,-0.00011257422225674496,-1.855619048196644e-06,0.0,-1.4226412702322833e-05,1.9793269847356854e-05,-0.01355609691456694,-0.013551594117126031,J204-S_flow,J204-S,"('Fells Point', 'Canal Street Creek')"
19,-0.0005264402405744661,-8.677586381899971e-06,0.0,-6.652816226981884e-05,9.256092142084782e-05,-0.19660764706689626,-0.1965827193828087,J208-S_flow,J208-S,"('Downtown', 'Southside, Drains to Harbor')"
20,-0.00022778700753445236,-0.7774965627961885,0.0,-0.879776633487305,-0.023856307413200994,-0.1406818262478029,-0.9836179680349426,J211-S_flow,J211-S,"('Fells Point', 'Canal Street Creek')"
21,-6.308597061588372e-05,-1.5202531966629351e-06,0.0,4.276918845214084e-05,1.048534201464335e-05,-2.8704963593195743e-05,2.616129824595248e-05,J227-S_flow,J227-S,"('Locust Point', 'Southside, Drains to Harbor')"
22,0.0,0.0,0.0,0.00010176652833709943,0.0,0.0,0.00014155709778539832,J231-S_flow,J231-S,"('Locust Point', 'Southside, Drains to Harbor')"
23,1.0312774561017923e-06,1.1387907813999176e-06,0.0,2.721824320920177e-05,2.6168443095012095e-06,1.7657396538008074e-06,2.855698858819991e-05,J232-S_flow,J232-S,"('Locust Point', 'Southside, Drains to Harbor')"
24,-0.00030796988736359054,-5.076426715433513e-06,0.0,-3.8919271480253315e-05,5.414855162388932e-05,-0.1511567675516261,-0.15113790568232632,J234-S_flow,J234-S,"('Locust Point', 'Southside, Drains to Harbor')"
