,node_name,BGN,BGNx3,Base,I,UG+I,V,V&I,node_id,neighborhood
0,J105-S_flow,2.8257470012310533,2.825028355340653,2.825057687825976,2.8249726236185406,2.825145685281943,2.7677827539587936,2.767991940111555,J105-S,"('Downtown', 'Southside, Drains to Harbor')"
1,J10-S_flow,2.578580187374291,2.578809109551218,2.5788144691796258,2.593638894123911,2.5788514517151584,2.446365675326851,2.461266764434256,J10-S,"('Downtown', 'Southside, Drains to Harbor')"
2,J116-S_flow,7.551879116996975,7.55213396161525,7.552138685057317,7.553799654501267,7.552183333475069,7.344867390140477,7.346391253295253,J116-S,"('Downtown', 'Southside, Drains to Harbor')"
3,J119-S_flow,4.877345584087828,4.87734105188246,4.877346559335154,4.103337115578933,4.877330605051328,4.700387895988029,3.937366097165408,J119-S,"('Downtown', 'Southside, Drains to Harbor')"
4,J128-S_flow,2.973584481239256,2.969154404686016,2.97499830444648,2.230934609531442,2.971594928322201,2.9502361452521213,2.209652973194626,J128-S,"('Canton', 'Harris Creek')"
5,J130-S_flow,4.128016966939637,4.128010135850781,4.128020707470114,3.184547849182413,4.127998558221668,4.0004354962905575,3.069383135445074,J130-S,"('Downtown', 'Southside, Drains to Harbor')"
6,J131-S_flow,4.853919993119845,4.853914667800485,4.853922406595013,3.974823224874668,4.853903097918794,4.694279641908366,3.8330800592440406,J131-S,"('Downtown', 'Southside, Drains to Harbor')"
7,J136-S_flow,2.5674536567938704,2.567462367343405,2.5674625411354453,2.567562658755294,2.5674641035529837,2.550390517939144,2.550483813288385,J136-S,"('Downtown', 'Southside, Drains to Harbor')"
8,J138-S_flow,1.047631612314029,1.047551232890415,1.0475545136832156,1.047544999384094,1.0475643560616172,1.0357523505298645,1.0357757967348546,J138-S,"('Downtown', 'Southside, Drains to Harbor')"
9,J141-S_flow,2.746463630328729,2.745668079123939,2.7457005506016854,2.7456063833162205,2.7457979650349253,2.73413644228903,2.734371177112477,J141-S,"('Downtown', 'Southside, Drains to Harbor')"
10,J157-S_flow,2.5434895818258343,2.5436069472685525,2.5436089495549354,2.544015376844665,2.5436298474125163,2.484956302839972,2.4853560324793302,J157-S,"('Downtown', 'Southside, Drains to Harbor')"
11,J163-S_flow,2.615863101748988,2.616090333903872,2.6160941422640103,2.616064944836288,2.616134764772146,2.554811635996173,2.554824298208212,J163-S,"('Downtown', 'Southside, Drains to Harbor')"
12,J165-S_flow,1.8455972970547228,1.84530863536003,1.8453270568472764,1.845365047908788,1.8453219551007247,1.8232584970242312,1.8234144278025808,J165-S,"('Federal Hill', 'Southside, Drains to Harbor')"
13,J171-S_flow,1.4625524218357706,1.4624268213814788,1.4624319479306336,1.4624170809380843,1.4624473275780978,1.4622919931387082,1.4623294169475378,J171-S,"('Canton', 'Northside, Drains to Harbor')"
14,J177-S_flow,2.892927402154567,2.8920903125440334,2.8921244794669128,2.892025395390564,2.892226980235549,2.8608817873065937,2.8611282455012423,J177-S,"('Federal Hill', 'Southside, Drains to Harbor')"
15,J182-S_flow,4.335717521653175,4.33574282331988,4.335743301396302,4.275276490347738,4.335748091388176,4.307690625515308,4.247697896901514,J182-S,"('Federal Hill', 'Southside, Drains to Harbor')"
16,J191-S_flow,1.715313166257501,1.7153719749250742,1.715372999914246,1.7156683803468469,1.715383456471289,1.7057629490542665,1.7060423505113524,J191-S,"('Fells Point', 'Canal Street Creek')"
17,J1-S_flow,1.5933416066548405,1.5936578617091883,1.5936631620732276,1.5936225259489258,1.5937196992896474,1.5402720256632971,1.5402911884215271,J1-S,"('Clifton Park', 'Canal Street Creek')"
18,J204-S_flow,1.774922035959306,1.7750327545625146,1.7750346101815628,1.7750203837688605,1.7750544034514102,1.761478513266996,1.7614830160644368,J204-S,"('Fells Point', 'Canal Street Creek')"
19,J208-S_flow,5.229217164944078,5.229734927598271,5.229743605184653,5.229677077022383,5.2298361661060735,5.033135958117756,5.033160885801844,J208-S,"('Downtown', 'Southside, Drains to Harbor')"
20,J211-S_flow,4.021086456280487,3.2438176804918326,4.021314243288021,3.141537609800716,3.99745793587482,3.880632417040218,3.0376962752530785,J211-S,"('Fells Point', 'Canal Street Creek')"
21,J227-S_flow,3.2790387830251944,3.2791003487426136,3.2791018689958102,3.2791446381842624,3.279112354337825,3.279073164032217,3.279128030294056,J227-S,"('Locust Point', 'Southside, Drains to Harbor')"
22,J231-S_flow,0.0602702802437559,0.0602702802437559,0.0602702802437559,0.060372046772093,0.0602702802437559,0.0602702802437559,0.0604118373415413,J231-S,"('Locust Point', 'Southside, Drains to Harbor')"
23,J232-S_flow,0.0298378671928292,0.0298379747061545,0.0298368359153731,0.0298640541585823,0.0298394527596826,0.0298386016550269,0.0298653929039613,J232-S,"('Locust Point', 'Southside, Drains to Harbor')"
24,J234-S_flow,3.4988079949459325,3.4991108884065807,3.499115964833296,3.499077045561816,3.49917011338492,3.34795919728167,3.34797805915097,J234-S,"('Locust Point', 'Southside, Drains to Harbor')"
25,J238-S_flow,1.0526231252956135,1.0525956068297624,1.05259673003245,1.0525934727446555,1.0526000996405136,1.0525660665990726,1.052574265978694,J238-S,"('Locust Point', 'Southside, Drains to Harbor')"
26,J240-S_flow,3.2996811257948138,3.2992253402325806,3.2992551621275834,3.2992772447758667,3.299250512370383,3.2712086017107653,3.271414165538556,J240-S,"('Locust Point', 'Southside, Drains to Harbor')"
27,J245-S_flow,2.9050569982776464,2.905125827849392,2.905126894407731,2.800477225709342,2.905140327161047,2.874153945573687,2.7707875408554514,J245-S,"('Locust Point', 'Southside, Drains to Harbor')"
