,node,scenario,count,time_above
166,J507-S_depth,I,7,35
167,J50-S_depth,I,0,0
168,J541-S_depth,I,1,5
169,J556-S_depth,I,12,60
170,J568-S_depth,I,0,0
171,J571-S_depth,I,0,0
172,J576-S_depth,I,0,0
173,J578-S_depth,I,0,0
174,J587-S_depth,I,14,70
175,J592-S_depth,I,0,0
176,J5-S_depth,I,5,25
177,J609-S_depth,I,0,0
178,J60-S_depth,I,5,25
179,J619-S_depth,I,8,40
180,J62-S_depth,I,15,75
181,J632-S_depth,I,0,0
182,J640-S_depth,I,0,0
183,J672-S_depth,I,0,0
184,J675-S_depth,I,9,45
185,J686-S_depth,I,1,5
186,J712-S_depth,I,0,0
187,J714-S_depth,I,7,35
188,J71-S_depth,I,15,75
189,J722-S_depth,I,0,0
190,J72-S_depth,I,0,0
191,J733-S_depth,I,1,5
192,J749-S_depth,I,1,5
193,J751-S_depth,I,0,0
194,J756-S_depth,I,15,75
195,J758-S_depth,I,0,0
196,J760-S_depth,I,0,0
197,J761-S_depth,I,5,25
198,J762-S_depth,I,0,0
199,J765-S_depth,I,0,0
200,J772-S_depth,I,8,40
201,J782-S_depth,I,0,0
202,J787-S_depth,I,0,0
203,J789-S_depth,I,0,0
204,J799-S_depth,I,0,0
205,J7-S_depth,I,21,105
206,J80-S_depth,I,0,0
207,J88-S_depth,I,20,100
208,J8-S_depth,I,23,115
209,J128-S_depth,I,0,0
210,J136-S_depth,I,10,50
211,J138-S_depth,I,6,30
212,J157-S_depth,I,7,35
213,J211-S_depth,I,0,0
214,J232-S_depth,I,9,45
215,J240-S_depth,I,4,20
216,J266-S_depth,I,0,0
217,J278-S_depth,I,0,0
218,J27-S_depth,I,1,5
219,J280-S_depth,I,7,35
220,J328-S_depth,I,21,105
221,J338-S_depth,I,6,30
222,J33-S_depth,I,15,75
223,J361-S_depth,I,7,35
224,J413-S_depth,I,3,15
225,J433-S_depth,I,1,5
226,J450-S_depth,I,0,0
227,J456-S_depth,I,5,25
228,J471-S_depth,I,17,85
229,J484-S_depth,I,7,35
230,J491-S_depth,I,2,10
231,J506-S_depth,I,10,50
232,J512-S_depth,I,0,0
233,J534-S_depth,I,8,40
234,J539-S_depth,I,21,105
235,J548-S_depth,I,25,125
236,J567-S_depth,I,0,0
237,J586-S_depth,I,0,0
238,J637-S_depth,I,0,0
239,J659-S_depth,I,14,70
240,J694-S_depth,I,0,0
241,J695-S_depth,I,0,0
242,J732-S_depth,I,4,20
243,J748-S_depth,I,0,0
244,J764-S_depth,I,0,0
245,J78-S_depth,I,0,0
246,J792-S_depth,I,22,110
247,J801-S_depth,I,0,0
248,J105-S_depth,V,1,5
249,J10-S_depth,V,6,30
250,J116-S_depth,V,9,45
251,J119-S_depth,V,0,0
252,J130-S_depth,V,35,175
253,J131-S_depth,V,0,0
254,J141-S_depth,V,1,5
255,J163-S_depth,V,0,0
256,J165-S_depth,V,0,0
257,J171-S_depth,V,0,0
258,J177-S_depth,V,0,0
259,J182-S_depth,V,13,65
260,J191-S_depth,V,4,20
261,J1-S_depth,V,0,0
262,J204-S_depth,V,0,0
263,J208-S_depth,V,7,35
264,J227-S_depth,V,20,100
265,J231-S_depth,V,0,0
266,J234-S_depth,V,0,0
267,J238-S_depth,V,0,0
268,J245-S_depth,V,11,55
269,J253-S_depth,V,0,0
270,J260-S_depth,V,0,0
271,J268-S_depth,V,0,0
272,J273-S_depth,V,0,0
273,J329-S_depth,V,4,20
274,J34-S_depth,V,0,0
275,J366-S_depth,V,0,0
276,J385-S_depth,V,34,170
277,J3-S_depth,V,1,5
278,J421-S_depth,V,20,100
279,J42-S_depth,V,0,0
280,J437-S_depth,V,0,0
281,J438-S_depth,V,13,65
282,J45-S_depth,V,0,0
283,J460-S_depth,V,0,0
284,J461-S_depth,V,5,25
285,J46-S_depth,V,0,0
286,J480-S_depth,V,8,40
287,J492-S_depth,V,0,0
288,J49-S_depth,V,0,0
289,J4-S_depth,V,7,35
290,J507-S_depth,V,12,60
291,J50-S_depth,V,0,0
292,J541-S_depth,V,1,5
293,J556-S_depth,V,13,65
294,J568-S_depth,V,5,25
295,J571-S_depth,V,0,0
296,J576-S_depth,V,0,0
